trade_id,trade_date,entry_ts,split,structure,policy,confidence_score,risk_fraction,margin_fraction,capacity_cap_lots,margin_cap_lots,risk_cap_lots,lots,equity_before,executed,skip_reason,gross_pnl_rupees,net_pnl_rupees,turnover_rupees,base_slippage_rupees,ladder_impact_rupees,volume_impact_rupees,oi_impact_rupees,impact_rupees,slippage_rupees,charges_rupees,brokerage_rupees,stt_rupees,stamp_duty_rupees,exchange_charges_rupees,sebi_charges_rupees,ipft_rupees,gst_rupees,total_cost_rupees,margin_rupees,max_loss_rupees,entry_dte,span_time_slot,equity_after,margin_utilization,max_loss_utilization
886,2021-03-31,2021-03-31 06:12:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.5694444444444444,0.01,0.5,76,8,3,3,1000000.0,True,,-348.75000000000256,-1185.3025980525924,116492.29107447907,514.26563167087,17.43273327697864,32.06221388485753,4.359706696638651,53.85465385847482,568.1202855293448,268.43231252324506,160.0,28.89385519723743,1.761137420400126,40.807249563390016,0.11649229107447905,0.5824614553723952,36.271116595770636,836.5525980525899,184225.72602909297,8797.5,8.158333333333333,ID1,998814.6974019475,0.18422572602909296,0.0087975
888,2021-04-15,2021-04-15 06:08:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.5,0.01,0.5,76,8,2,2,998814.6974019475,True,,802.5000000000008,281.69951195391104,35023.70693924201,296.17080444956287,5.0198441432129295,5.236507857170083,1.4506558398396323,11.707007840222644,307.8778122897855,212.92267575630433,160.0,8.879582281738056,0.5179362712729769,12.268804540816477,0.035023706939242005,0.17511853469621008,31.046210420841348,520.8004880460898,112661.54514471615,9855.0,7.161111111111111,ID1,999096.3969139013,0.11279524163767725,0.009866695019240498
890,2021-04-28,2021-04-28 06:10:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.2777777777777778,0.005,0.5,76,8,1,1,999096.3969139013,True,,-348.75000000000045,-669.8089152061727,32712.500654976393,109.94444822756275,0.0,0.0,0.0,0.0,109.94444822756276,211.11446697860958,160.0,8.063451551687205,0.49756792654805926,11.459188979438228,0.032712500654976384,0.16356250327488192,30.897983517006256,321.05891520617234,60022.69826880779,3427.5000000000023,14.15972222222222,ID1,998426.5879986952,0.06007698401696902,0.003430599900657406
891,2021-04-29,2021-04-29 06:49:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.18055555555555555,0.0,0.5,76,8,0,0,998426.5879986952,False,confidence_switch_or_cap_below_one_lot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998426.5879986952,0.0,0.0
894,2021-05-12,2021-05-12 07:23:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.7638888888888888,0.015,0.5,76,8,2,2,998426.5879986952,True,,2264.9999999999995,1957.67616450899,16093.548319449597,102.77026708526725,1.7418689336485975,2.015754462631082,0.45774643534437404,4.215369831624054,106.98563691689131,200.33819857411814,160.0,4.562890670633176,0.20903300934549734,5.637569976303194,0.016093548319449598,0.08046774159724798,29.832143627919578,307.3238354910094,112063.81899946397,14032.5,8.109027777777778,ID2,1000384.2641632042,0.11224041942241468,0.014054613697865925
896,2021-06-03,2021-06-03 07:57:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,1.0,0.02,0.5,76,8,2,2,1000384.2641632042,True,,-2842.5,-3168.1529777146716,19824.84379215658,118.93063723322837,2.0157735124275993,2.4680313682519626,0.5470320673631364,5.030836948042698,123.96147418127106,201.69150353340044,160.0,4.214595579493827,0.3418695789950678,6.944642780392451,0.019824843792156578,0.09912421896078291,30.07144653176617,325.65297771467147,117365.45876004276,14917.5,7.085416666666666,ID2,997216.1111854896,0.11732037674364656,0.01491176994120165
898,2021-06-17,2021-06-17 05:41:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.4305555555555556,0.01,0.5,76,8,1,1,997216.1111854896,True,,-194.99999999999983,-443.80505839830715,11071.404832507664,52.47449760527952,0.0,0.0,0.0,0.0,52.47449760527952,196.33056079302781,160.0,2.705982583725596,0.16978318995169417,3.878313112827435,0.011071404832507663,0.05535702416253832,29.510053477528043,248.80505839830732,59088.89657296545,6802.5,14.17986111111111,ID1,996772.3061270913,0.059253852710743536,0.006821490270462231
900,2021-07-08,2021-07-08 08:32:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.7222222222222222,0.015,0.5,76,8,1,1,996772.3061270913,True,,1747.4999999999998,1516.4745184154024,4937.154624651019,38.43975878491888,0.0,0.0,0.0,0.0,38.43975878491889,192.5857227996786,160.0,1.6615537164665248,0.048421415751539056,1.7294852650152515,0.0049371546246510176,0.024685773123255088,29.11663947469737,231.0254815845975,58307.58512169465,8167.5,7.061111111111111,ID3,998288.7806455067,0.058496393572816885,0.008193947554316001
901,2021-07-15,2021-07-15 05:17:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.875,0.02,0.5,76,8,2,2,998288.7806455067,True,,239.99999999999994,-45.593519656024625,19571.57511011912,80.23680041149719,1.359945769686393,1.423106887040085,0.32182886902673835,3.1048815257532167,83.3416819372504,202.25183771877414,160.0,4.932058357045468,0.29122375188084554,6.855922761074728,0.019571575110119116,0.09785787555059561,30.05520339811238,285.59351965602457,117304.56589700973,14445.0,7.196527777777778,BOD,998243.1871258507,0.1175056438289921,0.014469760934966807
902,2021-07-29,2021-07-29 08:29:00+00:00,discovery_2021_2023,short_iron_fly,gate_cushion_only,0.5277777777777778,0.01,0.5,76,12,1,1,998243.1871258507,True,,457.49999999999994,244.27688761440635,2987.588611658654,22.273039237370753,0.0,0.0,0.0,0.0,22.273039237370753,190.95007314822288,160.0,0.8557038931053208,0.038285424763440365,1.0465522906640266,0.0029875886116586536,0.014937943058293272,28.991606008020117,213.2231123855936,38983.223645285405,5857.5,14.063194444444443,ID2,998487.4640134651,0.03905183040369772,0.005867808641764897
