month,trades,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees
2025-01,16,7664.999999999999,2484.457776126929,5180.542223873071
2025-02,8,-922.4999999999986,1162.9403390419727,-2085.4403390419716
2025-03,4,7361.249999999998,492.8653936902448,6868.3846063097535
2025-04,12,918.7499999999995,1902.3764321978556,-983.6264321978555
2025-05,11,-123.75000000000034,1724.4430555122617,-1848.193055512261
2025-06,10,3367.5,1303.80151902356,2063.69848097644
2025-07,16,-787.5,1951.9931088895958,-2739.493108889596
2025-08,6,-528.75,703.0955281914396,-1231.8455281914394
2025-09,18,-3363.750000000001,2127.634547765149,-5491.38454776515
2025-10,17,-5212.5,2048.18840027524,-7260.6884002752395
2025-11,9,-5047.500000000002,1110.7809056341262,-6158.2809056341275
2025-12,14,-5442.25,1622.150906589893,-7064.400906589893
2026-01,9,-2635.749999999999,1040.8368205003887,-3676.5868205003876
2026-02,8,2034.4999999999993,1100.2551598103012,934.2448401896986
2026-03,7,-5216.249999999999,1028.6156291135421,-6244.865629113541
2026-04,6,-6165.249999999998,934.8382666384997,-7100.088266638497
2026-05,8,7159.75,1049.4262760345825,6110.323723965417
2026-06,11,809.250000000002,1436.0821492383802,-626.8321492383773
