policy,date,net_pnl_rupees,equity,peak_equity,drawdown_rupees,drawdown_pct,daily_return
fixed_balanced,2021-03-31,-2276.414721222802,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-01,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-02,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-05,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-06,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-07,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-08,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-09,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-12,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-13,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-14,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
fixed_balanced,2021-04-15,722.3361112745652,998445.9213900517,998445.9213900517,0.0,0.0,0.0007239841995643204
fixed_balanced,2021-04-16,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
fixed_balanced,2021-04-19,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
fixed_balanced,2021-04-20,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
fixed_balanced,2021-04-21,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
fixed_balanced,2021-04-22,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
fixed_balanced,2021-04-23,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
fixed_balanced,2021-04-26,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
fixed_balanced,2021-04-27,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
