trade_date,entry_ts,trade_id,signal_family
2021-03-31,2021-03-31 05:45:00+00:00,1,phase7_180min
2021-03-31,2021-03-31 05:50:00+00:00,2,phase7_180min
2021-03-31,2021-03-31 05:54:00+00:00,3,phase7_180min
2021-03-31,2021-03-31 05:59:00+00:00,4,phase7_180min
2021-03-31,2021-03-31 06:02:00+00:00,5,phase7_180min
2021-03-31,2021-03-31 06:10:00+00:00,6,phase7_180min
2021-03-31,2021-03-31 06:12:00+00:00,7,phase7_180min
2021-03-31,2021-03-31 06:35:00+00:00,8,phase7_180min
2021-03-31,2021-03-31 07:49:00+00:00,9,phase7_180min
2021-04-01,2021-04-01 06:55:00+00:00,10,phase7_180min
2021-04-01,2021-04-01 06:58:00+00:00,11,phase7_180min
2021-04-01,2021-04-01 09:42:00+00:00,12,phase7_180min
2021-04-05,2021-04-05 05:57:00+00:00,13,phase7_180min
2021-04-05,2021-04-05 07:05:00+00:00,14,phase7_180min
2021-04-05,2021-04-05 07:20:00+00:00,15,phase7_180min
2021-04-06,2021-04-06 06:04:00+00:00,16,phase7_180min
2021-04-06,2021-04-06 06:20:00+00:00,17,phase7_180min
2021-04-06,2021-04-06 08:19:00+00:00,18,phase7_180min
2021-04-07,2021-04-07 06:28:00+00:00,19,phase7_180min
2021-04-07,2021-04-07 06:49:00+00:00,20,phase7_180min
2021-04-07,2021-04-07 07:09:00+00:00,21,phase7_180min
2021-04-07,2021-04-07 07:22:00+00:00,22,phase7_180min
2021-04-07,2021-04-07 08:42:00+00:00,23,phase7_180min
2021-04-08,2021-04-08 04:59:00+00:00,24,phase7_180min
2021-04-08,2021-04-08 06:15:00+00:00,25,phase7_180min
2021-04-08,2021-04-08 06:44:00+00:00,26,phase7_180min
2021-04-08,2021-04-08 06:50:00+00:00,27,phase7_180min
2021-04-08,2021-04-08 06:52:00+00:00,28,phase7_180min
2021-04-08,2021-04-08 06:57:00+00:00,29,phase7_180min
2021-04-08,2021-04-08 07:03:00+00:00,30,phase7_180min
2021-04-08,2021-04-08 07:09:00+00:00,31,phase7_180min
2021-04-08,2021-04-08 07:23:00+00:00,32,phase7_180min
2021-04-08,2021-04-08 08:38:00+00:00,33,phase7_180min
2021-04-12,2021-04-12 05:11:00+00:00,34,phase7_180min
2021-04-13,2021-04-13 09:08:00+00:00,35,phase7_180min
2021-04-15,2021-04-15 05:43:00+00:00,36,phase7_180min
2021-04-15,2021-04-15 05:54:00+00:00,37,phase7_180min
2021-04-15,2021-04-15 05:55:00+00:00,38,phase7_180min
2021-04-15,2021-04-15 05:56:00+00:00,39,phase7_180min
2021-04-15,2021-04-15 06:08:00+00:00,40,phase7_180min
2021-04-15,2021-04-15 06:19:00+00:00,41,phase7_180min
2021-04-15,2021-04-15 06:20:00+00:00,42,phase7_180min
2021-04-15,2021-04-15 06:21:00+00:00,43,phase7_180min
2021-04-15,2021-04-15 06:23:00+00:00,44,phase7_180min
2021-04-15,2021-04-15 07:21:00+00:00,45,phase7_180min
2021-04-15,2021-04-15 07:33:00+00:00,46,phase7_180min
2021-04-15,2021-04-15 07:35:00+00:00,47,phase7_180min
2021-04-15,2021-04-15 09:02:00+00:00,48,phase7_180min
2021-04-19,2021-04-19 05:33:00+00:00,49,phase7_180min
2021-04-19,2021-04-19 06:31:00+00:00,50,phase7_180min
2021-04-19,2021-04-19 06:44:00+00:00,51,phase7_180min
2021-04-20,2021-04-20 05:45:00+00:00,52,phase7_180min
2021-04-20,2021-04-20 06:10:00+00:00,53,phase7_180min
2021-04-20,2021-04-20 07:58:00+00:00,54,phase7_180min
2021-04-22,2021-04-22 04:53:00+00:00,55,phase7_180min
2021-04-22,2021-04-22 07:27:00+00:00,56,phase7_180min
2021-04-26,2021-04-26 05:03:00+00:00,57,phase7_180min
2021-04-26,2021-04-26 05:04:00+00:00,58,phase7_180min
2021-04-26,2021-04-26 05:07:00+00:00,59,phase7_180min
2021-04-26,2021-04-26 05:08:00+00:00,60,phase7_180min
2021-04-26,2021-04-26 05:17:00+00:00,61,phase7_180min
2021-04-26,2021-04-26 05:25:00+00:00,62,phase7_180min
2021-04-26,2021-04-26 05:34:00+00:00,63,phase7_180min
2021-04-26,2021-04-26 08:25:00+00:00,64,phase7_180min
2021-04-27,2021-04-27 04:53:00+00:00,65,phase7_180min
2021-04-27,2021-04-27 04:55:00+00:00,66,phase7_180min
2021-04-27,2021-04-27 05:34:00+00:00,67,phase7_180min
2021-04-27,2021-04-27 08:18:00+00:00,68,phase7_180min
2021-04-28,2021-04-28 05:02:00+00:00,69,phase7_180min
2021-04-28,2021-04-28 05:23:00+00:00,70,phase7_180min
2021-04-28,2021-04-28 05:27:00+00:00,71,phase7_180min
2021-04-28,2021-04-28 06:10:00+00:00,72,phase7_180min
2021-04-28,2021-04-28 06:33:00+00:00,73,phase7_180min
2021-04-28,2021-04-28 06:48:00+00:00,74,phase7_180min
2021-04-28,2021-04-28 08:24:00+00:00,75,phase7_180min
2021-04-28,2021-04-28 08:29:00+00:00,76,phase7_180min
2021-04-29,2021-04-29 05:37:00+00:00,77,phase7_180min
2021-04-29,2021-04-29 05:42:00+00:00,78,phase7_180min
2021-04-29,2021-04-29 05:43:00+00:00,79,phase7_180min
2021-04-29,2021-04-29 05:49:00+00:00,80,phase7_180min
2021-04-29,2021-04-29 05:50:00+00:00,81,phase7_180min
2021-04-29,2021-04-29 05:51:00+00:00,82,phase7_180min
2021-04-29,2021-04-29 06:49:00+00:00,83,phase7_180min
2021-04-29,2021-04-29 06:56:00+00:00,84,phase7_180min
