date,net_pnl_rupees,equity,peak_equity,drawdown_rupees,drawdown_pct,daily_return
2021-03-31,-2276.414721222802,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-01,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-02,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-05,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-06,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-07,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-08,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-09,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-12,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-13,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-14,0.0,997723.5852787772,997723.5852787772,0.0,0.0,0.0
2021-04-15,722.3361112745652,998445.9213900517,998445.9213900517,0.0,0.0,0.0007239841995643204
2021-04-16,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-19,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-20,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-21,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-22,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-23,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-26,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-27,0.0,998445.9213900517,998445.9213900517,0.0,0.0,0.0
2021-04-28,-2668.801444783505,995777.1199452683,998445.9213900517,-2668.8014447834576,-0.002672955427638901,-0.002672955427638901
2021-04-29,1251.0663316348273,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0012563718392160084
2021-04-30,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-03,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-04,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-05,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-06,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-07,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-10,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-11,0.0,997028.1862769031,998445.9213900517,-1417.7351131485775,-0.001419941814349679,0.0
2021-05-12,1957.67616450899,998985.862441412,998985.862441412,0.0,0.0,0.0019635113544975713
2021-05-13,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
2021-05-14,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
2021-05-17,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
2021-05-18,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
2021-05-19,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
2021-05-20,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
2021-05-21,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
2021-05-24,0.0,998985.862441412,998985.862441412,0.0,0.0,0.0
