structure,policy,eligible_signals,executed_trades,skipped_trades,initial_capital,final_equity,net_profit,total_return,cagr,annualized_volatility,sharpe_zero_rate,sortino_zero_rate,calmar,gross_pnl,total_cost,charges,brokerage,stt,stamp_duty,exchange_charges,sebi_charges,ipft,gst,slippage,base_slippage,ladder_impact,volume_impact,oi_impact,impact,turnover,turnover_on_initial_capital,cost_to_gross_abs,win_rate,profit_factor,average_net_trade,median_net_trade,best_trade,worst_trade,p05_trade,cvar05_trade,maximum_losing_streak,max_drawdown_rupees,max_drawdown_pct,max_drawdown_business_days,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_date,active_months,positive_months,positive_month_rate,average_month_pnl,average_month_return_on_initial_capital,best_month,best_month_pnl,worst_month,worst_month_pnl,average_lots,maximum_lots,average_span_margin,maximum_span_margin,average_margin_utilization,maximum_margin_utilization,average_max_loss_utilization,maximum_max_loss_utilization
long_put_butterfly,balanced,132,132,0.0,1000000.0,985235.936533733,-14764.063466266962,-0.014764063466266908,-0.0028299882965766576,0.011400245116186371,-0.20246282099847596,-0.11538550089971272,-0.08010779060181547,107405.74999999994,122169.81346626693,39423.613325174854,15840.0,9636.029547376782,381.89522898351015,8927.168922232126,25.484353189358053,127.42176594679029,4485.613507446289,82746.20014109206,65479.38603400684,10528.46980701458,5644.130283190912,1094.2140168797307,17266.814107085225,25484353.189358056,25.484353189358057,1.137460643087237,0.5151515151515151,0.8874177316972187,-111.84896565353768,42.647053627323146,6937.91827307707,-6023.2404741125565,-3567.396486442357,-4126.450075825743,7.0,-35669.94647255645,-0.035327254382079065,1136.0,2022-02-10,2022-11-02,,57.0,25.0,0.43859649122807015,-259.01865730292945,-0.00025901865730292944,2025-09,5802.229387271641,2022-06,-11149.609272188367,5.151515151515151,15.0,271821.2482528642,494554.30262972147,0.2750410639513792,0.49848062558402007,0.015886554357036047,0.01996837854626948
long_put_butterfly,balanced__confirmation_2025_2026,42,42,,,,3377.184097658479,,,,,,,37108.249999999935,33731.06590234146,,,,,,,,,,,,,,,8186095.244513253,,,0.5,,80.40914518234474,,,,,,,,,,,,,,,,,,,,,,3.5476190476190474,,,,,,,
long_put_butterfly,balanced__discovery_2021_2023,72,72,,,,-7775.41184265966,,,,,,,60688.75000000003,68464.1618426597,,,,,,,,,,,,,,,12484932.409636907,,,0.5694444444444444,,-107.99183114805084,,,,,,,,,,,,,,,,,,,,,,5.069444444444445,,,,,,,
long_put_butterfly,balanced__validation_2024,18,18,,,,-10365.835721265794,,,,,,,9608.749999999976,19974.585721265772,,,,,,,,,,,,,,,4813325.535207894,,,0.3333333333333333,,-575.8797622925441,,,,,,,,,,,,,,,,,,,,,,9.222222222222221,,,,,,,
long_put_butterfly,conservative,132,132,0.0,1000000.0,983652.9579114796,-16347.042088520364,-0.016347042088520336,-0.0031354485615942007,0.004900234733394602,-0.58029686500825,-0.3084815511167187,-0.15682260079591134,45858.74999999996,62205.7920885203,28190.393521710765,15840.0,4414.3067302088475,174.9945811550536,4090.856689241373,11.678152124582851,58.39076062291427,3600.1666083579967,34015.39856680953,30089.211011067277,2051.395075560821,1569.8129213618565,304.97955881957415,3926.187555742252,11678152.124582853,11.678152124582853,1.3564650603978596,0.4696969696969697,0.7328103092067587,-123.84122794333581,-52.04512761958351,2950.2786494398515,-2484.470231288432,-1618.227504380234,-1891.4784425561472,7.0,-20053.68091838865,-0.019993601341140033,1136.0,2022-02-10,2025-08-28,,57.0,24.0,0.42105263157894735,-286.79021207930396,-0.00028679021207930397,2023-12,2632.7531428486504,2022-06,-5137.186819986521,2.3333333333333335,7.0,121962.16713009111,245553.30192378676,0.12311610195207424,0.24928802387389296,0.0069679215336153994,0.009958197488621992
long_put_butterfly,conservative__confirmation_2025_2026,42,42,,,,-3144.6679025603207,,,,,,,14659.999999999969,17804.667902560293,,,,,,,,,,,,,,,3652769.1612800946,,,0.38095238095238093,,-74.87304529905525,,,,,,,,,,,,,,,,,,,,,,1.5238095238095237,,,,,,,
long_put_butterfly,conservative__discovery_2021_2023,72,72,,,,-7286.522799834258,,,,,,,27057.500000000015,34344.02279983427,,,,,,,,,,,,,,,5724105.837140338,,,0.5555555555555556,,-101.20170555325359,,,,,,,,,,,,,,,,,,,,,,2.3055555555555554,,,,,,,
long_put_butterfly,conservative__validation_2024,18,18,,,,-5915.851386125748,,,,,,,4141.249999999987,10057.101386125734,,,,,,,,,,,,,,,2301277.12616242,,,0.3333333333333333,,-328.65841034031934,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,,,,,,,
long_put_butterfly,growth,132,132,0.0,1000000.0,973182.3961877695,-26817.603812230518,-0.026817603812230528,-0.0051659879170598,0.01787163890930526,-0.23408963406711258,-0.13181674772925125,-0.08869830373361824,162958.99999999988,189776.60381223046,50451.7772811793,15840.0,14756.950468362857,585.4049605882846,13679.443419979163,39.0506520695951,195.25326034797553,5355.674519831411,139324.8265310512,100682.63628790874,25304.922980539057,11189.173282481457,2148.0939801219542,38642.19024314247,39050652.0695951,39.050652069595095,1.1645665708075688,0.5151515151515151,0.8706313487091362,-203.16366524417094,128.0907069104,9292.88852895908,-8397.454348508567,-5775.968955704715,-6550.68721831197,7.0,-59095.656811974826,-0.05824224026396796,1136.0,2022-02-10,2022-11-02,,57.0,26.0,0.45614035087719296,-470.48427740755386,-0.00047048427740755387,2023-12,9030.856094766685,2022-06,-17259.29593573899,7.856060606060606,21.0,417183.8083439816,751046.1332195678,0.4265899492191568,0.7484522137682281,0.024738224705233666,0.029999704813255753
long_put_butterfly,growth__confirmation_2025_2026,42,42,,,,6514.667105934444,,,,,,,57682.74999999992,51168.08289406547,,,,,,,,,,,,,,,12766676.644760197,,,0.5,,155.11112156986772,,,,,,,,,,,,,,,,,,,,,,5.523809523809524,,,,,,,
long_put_butterfly,growth__discovery_2021_2023,72,72,,,,-16076.22625578707,,,,,,,91551.25000000004,107627.47625578713,,,,,,,,,,,,,,,19126478.061342284,,,0.5694444444444444,,-223.28092021926489,,,,,,,,,,,,,,,,,,,,,,7.75,,,,,,,
long_put_butterfly,growth__validation_2024,18,18,,,,-17256.04466237793,,,,,,,13724.999999999962,30981.04466237789,,,,,,,,,,,,,,,7157497.363492616,,,0.3333333333333333,,-958.669147909885,,,,,,,,,,,,,,,,,,,,,,13.722222222222221,,,,,,,
long_put_butterfly,margin_only,132,132,0.0,1000000.0,1143284.9295494682,143284.92954946822,0.14328492954946825,0.025841569901128292,0.04675422075151332,0.5754692824007341,0.34741211887837997,0.3052872338300223,534102.7499999999,390817.8204505317,80580.49433147791,15840.0,28488.313814222656,1147.3658008903908,26873.28150231098,76.7150485364287,383.57524268214354,7771.242922835319,310237.3261190539,196174.38486219198,78990.51249134465,29108.450733051373,5963.978032465836,114062.94125686184,76715048.5364287,76.71504853642871,0.7317277816871974,0.5,1.3255361521886009,1085.4918905262741,215.91817886193962,39738.44578898322,-26246.877942392646,-11548.27203322596,-17283.136230969558,7.0,-89736.83698224893,-0.08464674260017158,382.0,2022-02-10,2022-08-10,2023-08-10,57.0,27.0,0.47368421052631576,2513.7706938503197,0.00251377069385032,2025-05,39706.47082180629,2021-06,-34351.72259518862,17.886363636363637,21.0,963779.7091246131,1158922.1239628764,0.9080499874886702,0.9998784917580508,0.06649558610655391,0.1351268514108629
long_put_butterfly,margin_only__confirmation_2025_2026,42,42,,,,58679.81375759217,,,,,,,161748.99999999983,103069.1862424077,,,,,,,,,,,,,,,25497651.861219082,,,0.47619047619047616,,1397.1384227998137,,,,,,,,,,,,,,,,,,,,,,12.69047619047619,,,,,,,
long_put_butterfly,margin_only__discovery_2021_2023,72,72,,,,80761.94073002118,,,,,,,325600.0000000001,244838.05926997898,,,,,,,,,,,,,,,41340168.29718826,,,0.5555555555555556,,1121.6936212502942,,,,,,,,,,,,,,,,,,,,,,20.291666666666668,,,,,,,
long_put_butterfly,margin_only__validation_2024,18,18,,,,3843.175061854867,,,,,,,46753.74999999994,42910.57493814508,,,,,,,,,,,,,,,9877228.37802136,,,0.3333333333333333,,213.50972565860374,,,,,,,,,,,,,,,,,,,,,,20.38888888888889,,,,,,,
short_iron_condor,balanced,132,132,0.0,1000000.0,996620.3931705807,-3379.6068294192664,-0.0033796068294192905,-0.000644806108554663,0.00882516358677475,-0.03478604239324356,-0.017922747437621823,-0.029090964813793977,86051.24999999997,89430.85682941927,36946.568283556815,21120.0,5627.160345811493,219.9077699359426,5147.344003538318,14.694102208216723,73.47051104108363,4743.991551021771,52484.28854586245,44464.89101899341,5358.273846023291,2207.5792935941986,453.5443872515479,8019.397526869039,14694102.208216723,14.694102208216723,1.039274349058489,0.553030303030303,0.9652509470601885,-25.603082041055302,198.20332545438373,5513.692699372687,-5916.34734693073,-2716.939108556136,-3555.3163188605613,7.0,-22344.595841326634,-0.02216516752476072,1136.0,2022-02-10,2022-08-10,,57.0,29.0,0.5087719298245614,-59.29134788454912,-5.9291347884549115e-05,2025-09,6547.337999550153,2022-03,-8215.643293756963,5.795454545454546,17.0,292907.74492221134,499646.6661425196,0.2942653509859674,0.49819953150621915,0.015744574311442317,0.019997454484521705
short_iron_condor,balanced__confirmation_2025_2026,42,42,,,,2855.513872276022,,,,,,,29004.99999999998,26149.486127723954,,,,,,,,,,,,,,,4841044.023033984,,,0.5476190476190477,,67.98842553038148,,,,,,,,,,,,,,,,,,,,,,3.9761904761904763,,,,,,,
short_iron_condor,balanced__discovery_2021_2023,72,72,,,,-788.234001671452,,,,,,,47303.749999999985,48091.984001671444,,,,,,,,,,,,,,,6681331.347727761,,,0.5972222222222222,,-10.947694467659055,,,,,,,,,,,,,,,,,,,,,,5.75,,,,,,,
short_iron_condor,balanced__validation_2024,18,18,,,,-5446.886700023871,,,,,,,9742.500000000005,15189.386700023879,,,,,,,,,,,,,,,3171726.837454978,,,0.3888888888888889,,-302.6048166679928,,,,,,,,,,,,,,,,,,,,,,10.222222222222221,,,,,,,
short_iron_condor,conservative,132,132,0.0,1000000.0,984638.477308872,-15361.52269112796,-0.015361522691128005,-0.002945230609236793,0.00385265004790659,-0.7039052927758594,-0.33441009782434045,-0.16239555819417,37842.249999999985,53203.772691127895,30587.980205252294,21120.0,2652.396435176972,103.6062507046961,2424.8877232467676,6.922317223085262,34.611586115426306,4245.555892785351,22615.7924858756,20811.519108826782,1015.8117372353274,655.3171690704651,133.14447074302666,1804.2733770488192,6922317.223085262,6.922317223085262,1.4059357646843915,0.5,0.6867324285094779,-116.37517190248417,-10.275032960997493,1713.4431345698076,-2474.6477437553917,-1397.985458019997,-1699.1231219325527,7.0,-18163.20003587904,-0.01813615250310785,1136.0,2022-02-10,2025-08-28,,57.0,24.0,0.42105263157894735,-269.50039808996337,-0.0002695003980899634,2025-09,1573.4540967605972,2022-03,-3864.6263147938653,2.6818181818181817,8.0,133930.38612205375,247709.72613083763,0.13511709869215338,0.2493307591926793,0.007118641416516451,0.009954152608231261
short_iron_condor,conservative__confirmation_2025_2026,42,42,,,,-4217.087963966318,,,,,,,11755.999999999989,15973.087963966305,,,,,,,,,,,,,,,2247536.6117620985,,,0.5,,-100.40685628491234,,,,,,,,,,,,,,,,,,,,,,1.7380952380952381,,,,,,,
short_iron_condor,conservative__discovery_2021_2023,72,72,,,,-7168.649589109477,,,,,,,21548.749999999993,28717.39958910947,,,,,,,,,,,,,,,3175828.9911768665,,,0.5277777777777778,,-99.56457762652052,,,,,,,,,,,,,,,,,,,,,,2.6805555555555554,,,,,,,
short_iron_condor,conservative__validation_2024,18,18,,,,-3975.7851380521147,,,,,,,4537.500000000003,8513.285138052117,,,,,,,,,,,,,,,1498951.6201462967,,,0.3888888888888889,,-220.87695211400637,,,,,,,,,,,,,,,,,,,,,,4.888888888888889,,,,,,,
short_iron_condor,growth,132,132,0.0,1000000.0,1007011.3845570451,7011.384557045065,0.007011384557044975,0.0013321187199044626,0.014078479915136326,0.13008345929288237,0.06840678976876838,0.03962709950212238,138045.24999999994,131033.86544295495,43609.30797204506,21120.0,8782.675803119128,340.4788310421351,7969.058245195913,22.74923849613449,113.74619248067245,5260.5996617110895,87424.55747090987,68949.02770859847,13228.072602366796,4353.813583859983,893.6435760846157,18475.529762311395,22749238.49613449,22.74923849613449,0.9492095196535557,0.5606060606060606,1.0466010184554422,53.11654967458352,379.65742685292497,9309.176157028047,-9372.190486227624,-4389.99628036295,-5640.351071046736,7.0,-34120.02462002507,-0.033616356903263034,1136.0,2022-02-10,2022-08-10,,57.0,31.0,0.543859649122807,123.00674661482496,0.00012300674661482497,2025-09,10757.597303079478,2022-03,-12852.138260532494,9.053030303030303,25.0,460128.2314604713,760862.8010969713,0.4604946498710495,0.7496312139552448,0.02483212619463332,0.029923665278042362
short_iron_condor,growth__confirmation_2025_2026,42,42,,,,8550.54580449815,,,,,,,46940.24999999997,38389.70419550182,,,,,,,,,,,,,,,7771370.960446032,,,0.5714285714285714,,203.5844239166226,,,,,,,,,,,,,,,,,,,,,,6.404761904761905,,,,,,,
short_iron_condor,growth__discovery_2021_2023,72,72,,,,5907.810384000679,,,,,,,75872.49999999997,69964.68961599929,,,,,,,,,,,,,,,10172336.07844207,,,0.5972222222222222,,82.05292200000943,,,,,,,,,,,,,,,,,,,,,,8.944444444444445,,,,,,,
short_iron_condor,growth__validation_2024,18,18,,,,-7446.971631453808,,,,,,,15232.50000000001,22679.471631453816,,,,,,,,,,,,,,,4805531.457246387,,,0.3888888888888889,,-413.72064619187825,,,,,,,,,,,,,,,,,,,,,,15.666666666666666,,,,,,,
short_iron_condor,margin_only,132,132,0.0,1000000.0,1188850.4200500369,188850.42005003686,0.18885042005003694,0.03350871882920847,0.03315007629813192,0.9987716868615067,0.6013379559259805,0.8307036206365286,429703.7499999999,240853.32994996308,56204.084709539806,21120.0,14721.790503280405,566.9374022072145,13325.784804415165,38.04106424326339,190.20532121631697,6241.325614177455,184649.2452404233,128988.07152758684,43991.285745599904,9620.433738980504,2049.454228256072,55661.17371283648,38041064.243263386,38.041064243263385,0.5605101885891458,0.5606060606060606,1.6265397990863253,1430.6850003790669,1093.1275007103745,24444.11886235557,-16148.84164648339,-9740.23878487284,-12863.501971307143,7.0,-43028.887429645634,-0.04033775464170042,338.0,2022-02-10,2022-07-27,2022-12-22,57.0,36.0,0.631578947368421,3313.1652640357333,0.0033131652640357332,2025-09,29127.69111402212,2022-06,-20375.346418009707,21.439393939393938,45.0,1066248.3113391735,1182676.3589195693,0.9740822649996146,0.9998303025193264,0.0643917486625026,0.12733853044530397
short_iron_condor,margin_only__confirmation_2025_2026,42,42,,,,54741.48936862128,,,,,,,120701.24999999994,65959.76063137865,,,,,,,,,,,,,,,13122772.66491459,,,0.5714285714285714,,1303.368794490983,,,,,,,,,,,,,,,,,,,,,,13.571428571428571,,,,,,,
short_iron_condor,margin_only__discovery_2021_2023,72,72,,,,122747.51422681205,,,,,,,257325.0,134577.48577318795,,,,,,,,,,,,,,,17166199.28579712,,,0.5972222222222222,,1704.8265864835007,,,,,,,,,,,,,,,,,,,,,,23.694444444444443,,,,,,,
short_iron_condor,margin_only__validation_2024,18,18,,,,11361.416454603486,,,,,,,51677.50000000002,40316.083545396534,,,,,,,,,,,,,,,7752092.292551677,,,0.3888888888888889,,631.189803033527,,,,,,,,,,,,,,,,,,,,,,30.77777777777778,,,,,,,
short_iron_fly,balanced,132,132,0.0,1000000.0,1007696.0780776172,7696.078077617218,0.0076960780776171855,0.0014618033822333398,0.010871260041644671,0.17371063755716462,0.09802131800926711,0.06393581103303161,101277.24999999999,93581.17192238275,38682.18113525322,21120.0,6453.559723065689,251.04322443702108,5878.94689575297,16.782606039831485,83.91303019915743,4877.9356557585525,54898.990787129536,46886.517138947704,5274.086562209597,2255.975155667839,482.4119303043939,8012.473648181832,16782606.039831482,16.78260603983148,0.9240098040022094,0.5378787878787878,1.0664464185837377,58.3036218001306,221.1489166766155,6803.012477204992,-6951.712230041248,-3282.628707891511,-4153.5065491684345,7.0,-23143.847606945317,-0.02286360896365447,556.0,2022-02-10,2022-08-10,2024-04-10,57.0,27.0,0.47368421052631576,135.0189136424077,0.0001350189136424077,2023-12,5961.793421165867,2022-03,-8524.921779989207,5.234848484848484,16.0,279168.94072653714,499983.46030787996,0.278117089502032,0.49957138382887445,0.01598215654516253,0.019996857831725515
short_iron_fly,balanced__confirmation_2025_2026,42,42,,,,3917.232226661671,,,,,,,31579.75000000002,27662.517773338346,,,,,,,,,,,,,,,5599676.706288192,,,0.5476190476190477,,93.26743396813502,,,,,,,,,,,,,,,,,,,,,,3.6904761904761907,,,,,,,
short_iron_fly,balanced__discovery_2021_2023,72,72,,,,10108.92620139047,,,,,,,60103.74999999997,49994.823798609505,,,,,,,,,,,,,,,7672244.826580589,,,0.5833333333333334,,140.40175279708987,,,,,,,,,,,,,,,,,,,,,,5.097222222222222,,,,,,,
short_iron_fly,balanced__validation_2024,18,18,,,,-6330.080350434906,,,,,,,9593.750000000005,15923.83035043491,,,,,,,,,,,,,,,3510684.5069627035,,,0.3333333333333333,,-351.671130579717,,,,,,,,,,,,,,,,,,,,,,9.38888888888889,,,,,,,
short_iron_fly,conservative,132,132,0.0,1000000.0,988240.3959269512,-11759.604073048802,-0.011759604073048768,-0.002251322183729698,0.004730037340180247,-0.411530972289851,-0.21638574351474027,-0.1474381624175597,42896.24999999999,54655.85407304883,31269.315323034018,21120.0,2969.4379123144836,116.09359915569955,2718.008032630116,7.759086590437098,38.79543295218549,4299.221259391094,23386.538750014814,21623.825983992898,969.3415637707209,655.1277588641975,138.24344338699385,1762.7127660219126,7759086.590437099,7.759086590437099,1.2741406083993085,0.48484848484848486,0.7935964210066673,-89.08790964430932,-27.713372729383096,2969.0553364504276,-2887.6561003277257,-1488.0943580554342,-1906.3863072260026,7.0,-15321.022298861644,-0.015269602841045504,1136.0,2022-02-10,2025-08-28,,57.0,25.0,0.43859649122807015,-206.30884338682154,-0.00020630884338682153,2023-12,2795.8002691415045,2022-03,-3966.3793018966553,2.3484848484848486,7.0,124051.30110248791,248787.2496363389,0.12473983209426963,0.2498735201719006,0.006991547046290973,0.009948608150537785
short_iron_fly,conservative__confirmation_2025_2026,42,42,,,,-4619.999399204801,,,,,,,11831.25000000001,16451.24939920481,,,,,,,,,,,,,,,2521975.1145270946,,,0.42857142857142855,,-109.99998569535241,,,,,,,,,,,,,,,,,,,,,,1.5476190476190477,,,,,,,
short_iron_fly,conservative__discovery_2021_2023,72,72,,,,-2570.937387481932,,,,,,,26814.999999999985,29385.937387481914,,,,,,,,,,,,,,,3580781.2332113385,,,0.5555555555555556,,-35.70746371502683,,,,,,,,,,,,,,,,,,,,,,2.3194444444444446,,,,,,,
short_iron_fly,conservative__validation_2024,18,18,,,,-4568.667286362097,,,,,,,4250.000000000002,8818.667286362099,,,,,,,,,,,,,,,1656330.242698666,,,0.3333333333333333,,-253.8148492423387,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,,,,,,,
short_iron_fly,growth,132,132,0.0,1000000.0,1022849.2892259705,22849.28922597051,0.022849289225970404,0.004313807875067521,0.017199120709978467,0.29146157147406915,0.17665176171137015,0.11929890840054382,161238.99999999997,138389.71077402943,46426.75535369438,21120.0,10101.747085333016,391.82537289975033,9174.703968471162,26.190990489498034,130.95495244749017,5481.332984053466,91962.95542033503,73194.18793253435,13280.444102993508,4525.7199821832355,962.6034026239582,18768.767487800702,26190990.489498034,26.190990489498034,0.8582893144588434,0.553030303030303,1.1270141746031634,173.10067595432244,459.3385668842619,12432.716580073356,-9670.672687526723,-5195.961582756886,-6372.4458896400465,7.0,-36897.15952046029,-0.0361596592366461,502.0,2022-02-10,2022-08-10,2024-01-25,57.0,29.0,0.5087719298245614,400.86472326264163,0.00040086472326264163,2025-05,9932.4733106246,2022-03,-13665.475971305763,8.151515151515152,24.0,437049.00363617984,762561.3760284105,0.432692940556447,0.7473193021518336,0.024974839798177387,0.02992944773153108
short_iron_fly,growth__confirmation_2025_2026,42,42,,,,11609.807095383343,,,,,,,52242.75000000003,40632.942904616684,,,,,,,,,,,,,,,8958178.18495893,,,0.5714285714285714,,276.42397846150817,,,,,,,,,,,,,,,,,,,,,,5.833333333333333,,,,,,,
short_iron_fly,growth__discovery_2021_2023,72,72,,,,18910.171091392578,,,,,,,92394.99999999996,73484.82890860738,,,,,,,,,,,,,,,11808567.670233233,,,0.5972222222222222,,262.6412651582302,,,,,,,,,,,,,,,,,,,,,,7.888888888888889,,,,,,,
short_iron_fly,growth__validation_2024,18,18,,,,-7670.688960805354,,,,,,,16601.250000000007,24271.938960805364,,,,,,,,,,,,,,,5424244.634305871,,,0.3333333333333333,,-426.14938671140857,,,,,,,,,,,,,,,,,,,,,,14.61111111111111,,,,,,,
short_iron_fly,margin_only,132,132,0.0,1000000.0,1315511.6489343601,315511.6489343601,0.3155116489343601,0.05363784333885757,0.049866488433174636,1.0602523666847352,0.6423532021687604,1.1847233302638043,594285.0,278773.35106563976,66429.11210335075,21120.0,19507.438540707823,752.3327070230703,17703.334225404316,50.53763695519359,252.688184775968,7042.7808084843855,212344.23896228906,148332.84218901116,50702.40177963681,10873.51737768148,2435.477615959553,64011.396773277855,50537636.955193594,50.53763695519359,0.4690903372382607,0.553030303030303,1.719067122205417,2390.239764654244,1562.3878080210825,43888.00272777849,-29350.95353049453,-14046.622662584146,-20123.584004167427,7.0,-50086.76989378501,-0.0452745733697284,255.0,2022-02-10,2022-05-23,2022-11-17,57.0,33.0,0.5789473684210527,5535.292086567723,0.005535292086567723,2025-05,49511.19280262415,2021-06,-30429.45603801661,21.575757575757574,46.0,1139098.509581597,1308211.3838452948,0.9731179205192763,0.9992465281753772,0.07093921857605237,0.1449249817168866
short_iron_fly,margin_only__confirmation_2025_2026,42,42,,,,81042.08605857893,,,,,,,159735.00000000003,78692.9139414211,,,,,,,,,,,,,,,17483258.395237118,,,0.5714285714285714,,1929.5734775852127,,,,,,,,,,,,,,,,,,,,,,14.404761904761905,,,,,,,
short_iron_fly,margin_only__discovery_2021_2023,72,72,,,,219226.1351422026,,,,,,,372254.99999999994,153028.86485779734,,,,,,,,,,,,,,,23432001.382571533,,,0.5972222222222222,,3044.8074325305915,,,,,,,,,,,,,,,,,,,,,,23.180555555555557,,,,,,,
short_iron_fly,margin_only__validation_2024,18,18,,,,15243.427733578677,,,,,,,62295.00000000003,47051.57226642135,,,,,,,,,,,,,,,9622377.177384946,,,0.3333333333333333,,846.8570963099265,,,,,,,,,,,,,,,,,,,,,,31.88888888888889,,,,,,,
