trade_id,trade_date,signal_family,structure,horizon_minutes,entry_ts,exit_ts,lot_size,entry_dte,entry_value_points,entry_credit_points,entry_debit_points,max_loss_points,max_profit_points,net_delta_per_unit,net_gamma_per_unit,net_theta_points_per_day,net_vega_points_per_vol_point,gross_pnl_points,gross_pnl_rupees,total_cost_rupees,cost_hurdle_points,net_pnl_rupees,margin_rupees,net_return_on_margin,slippage_rupees,charges_rupees,brokerage_rupees,stt_rupees,reversal_type,mapping
2,2021-04-05 00:00:00,bottom_to_zero,long_iron_condor,60,2021-04-05 11:27:00+05:30,2021-04-05 12:27:00+05:30,75,10.16875,79.4,0.0,79.4,79.4,20.599999999999994,0.021893179387714012,0.00012074575883295688,-0.921172888274512,1.109332595240895,-0.29999999999998295,-22.49999999999872,568.9257614660919,7.585676819547892,-591.4257614660906,64143.71208348707,-0.009220323274965952,333.138949844002,235.78681162208989,160.0,17.079186233596474,bottom_to_zero,inverse
3,2021-04-06 00:00:00,bottom_to_zero,long_iron_condor,60,2021-04-06 13:49:00+05:30,2021-04-06 14:49:00+05:30,75,9.07013888888889,69.89999999999999,0.0,69.89999999999999,69.89999999999999,30.10000000000001,0.05324545817149545,0.00035220856231466197,-1.4401871858365327,2.1036557406738847,0.6000000000000156,45.00000000000117,360.34384064143126,4.80458454188575,-315.34384064143006,56678.43834066803,-0.005563735520482114,144.42411665446932,215.91972398696197,160.0,9.875108319838525,bottom_to_zero,inverse
4,2021-04-07 00:00:00,bottom_to_zero,long_iron_condor,60,2021-04-07 14:12:00+05:30,2021-04-07 15:12:00+05:30,75,8.054166666666667,54.099999999999994,0.0,54.099999999999994,54.099999999999994,45.900000000000006,0.07630184102256882,0.0013612619022274214,-2.3040772212510694,4.648168269380309,-5.000000000000002,-375.0000000000001,263.4367689390722,3.5124902525209625,-638.4367689390723,51673.49483596912,-0.012355207848157124,61.3250679943783,202.11170094469384,160.0,4.7835259481645425,bottom_to_zero,inverse
5,2021-04-08 00:00:00,top_to_zero,short_iron_condor,60,2021-04-08 12:20:00+05:30,2021-04-08 13:20:00+05:30,75,7.131944444444445,-25.4,25.4,0.0,74.6,25.4,-0.2982135830965355,-0.007793193229612378,2.758504410993662,-8.012074594012418,-3.200000000000002,-240.00000000000014,235.9841714170613,3.1464556188941506,-475.9841714170615,53172.48640078452,-0.008951700468346703,43.245258245458636,192.7389131716027,160.0,1.3901155607068432,top_to_zero,inverse
6,2021-04-12 00:00:00,bottom_to_zero,long_iron_condor,60,2021-04-12 10:41:00+05:30,2021-04-12 11:41:00+05:30,75,10.200694444444444,77.55000000000003,0.0,77.55000000000003,77.55000000000003,22.449999999999974,0.03861541144707581,0.00017234900203216938,-1.1338919299231511,1.4334386997139088,-1.0499999999999972,-78.74999999999979,461.84086121564724,6.157878149541963,-540.590861215647,60482.07332493609,-0.008938034553004771,233.62056866869085,228.2202925469564,160.0,14.326539908375075,bottom_to_zero,inverse
9,2021-04-19 00:00:00,bottom_to_zero,long_iron_condor,60,2021-04-19 11:03:00+05:30,2021-04-19 12:03:00+05:30,75,17.185416666666665,76.30000000000001,0.0,76.30000000000001,76.30000000000001,23.69999999999999,0.08469687413655119,0.00016952875431123777,-0.6792681173229012,1.3505609234060127,-0.8499999999999943,-63.749999999999574,461.54223990234453,6.15389653203126,-525.2922399023441,74914.4132944206,-0.007011898202257779,233.80760455046504,227.73463535187952,160.0,14.151838575935628,bottom_to_zero,inverse
10,2021-04-20 00:00:00,bottom_to_zero,long_iron_condor,60,2021-04-20 13:28:00+05:30,2021-04-20 14:28:00+05:30,75,16.084722222222222,63.599999999999994,0.0,63.599999999999994,63.599999999999994,36.400000000000006,0.10601986415524256,0.0007575380677257622,-1.1063948010994284,3.7167432486695713,-0.34999999999999787,-26.24999999999984,315.1340512753537,4.20178735033805,-341.38405127535356,53654.101761797196,-0.006362683188527925,103.41917158700342,211.71487968835027,160.0,8.33649639670474,bottom_to_zero,inverse
11,2021-04-28 00:00:00,top_to_zero,short_iron_condor,60,2021-04-28 10:57:00+05:30,2021-04-28 11:57:00+05:30,75,14.189583333333333,-55.95,55.95,0.0,44.05,55.95,-0.13838679232459378,-0.0017619268957915508,1.5918754064884437,-5.983142046195384,0.699999999999994,52.499999999999545,278.72013275958466,3.7162684367944623,-226.2201327595851,60864.6934838611,-0.0037167710837083196,74.28726949356066,204.432863266024,160.0,5.69823263037612,top_to_zero,inverse
12,2021-04-29 00:00:00,top_to_zero,short_iron_condor,60,2021-04-29 12:57:00+05:30,2021-04-29 13:57:00+05:30,75,13.10625,-30.25,30.25,0.0,69.75,30.25,-0.13646996480098955,-0.006365604045594825,1.8254349722670051,-11.567040884302038,-2.9999999999999982,-224.99999999999986,263.20853062371543,3.5094470749828726,-488.2085306237153,52709.84334346609,-0.00926218898892314,69.21467549547549,193.99385512823997,160.0,1.84603143231071,top_to_zero,inverse
13,2021-05-04 00:00:00,bottom_to_zero,long_iron_condor,60,2021-05-04 14:12:00+05:30,2021-05-04 15:12:00+05:30,75,8.054166666666667,69.99999999999999,0.0,69.99999999999999,69.99999999999999,30.000000000000014,0.04534903854052724,0.00036876142798556995,-1.5972622110319357,1.999979492428352,-1.4999999999999751,-112.49999999999814,376.0058826762769,5.013411769017025,-488.505882676275,56746.17395723573,-0.008608613561231741,158.79998705267934,217.20589562359754,160.0,10.315979687770618,bottom_to_zero,inverse
