dimension,value,policies,median_discovery_net,median_holdout_net,positive_holdout_rate,positive_both_later_rate,median_full_drawdown_pct,median_full_margin_efficiency
score_floor,0.0,1470,16016.370894317071,-144.73025526085598,0.4925170068027211,0.3469387755102041,-0.010025826538207716,0.000862032376499508
score_floor,0.2,1764,21640.194736188234,1376.532297502246,0.5527210884353742,0.4155328798185941,-0.008539101739998778,0.0013179243429653317
score_floor,0.4,1158,30189.695436594695,12416.01200639681,0.7642487046632125,0.6649395509499136,-0.007239457096522406,0.002384862529116824
score_power,0.0,1508,30230.127623321674,1337.6532064702383,0.5179045092838196,0.4336870026525199,-0.009924565065955071,0.0014459306396894887
score_power,0.5,1492,21137.302415106915,2576.314160075912,0.5683646112600537,0.46179624664879354,-0.00889237341462501,0.0013836725285637332
score_power,1.0,1092,17766.362758427407,1960.5094657687496,0.6089743589743589,0.4432234432234432,-0.007570384272182484,0.0012853227858793859
score_power,2.0,300,17820.388223779784,9197.526705763043,0.9666666666666667,0.62,-0.006428362353109174,0.0019167665513765007
margin_fraction,0.25,817,21205.000197246973,10397.683876966476,0.7906976744186046,0.6854345165238678,-0.006147946188476694,0.00197110643986553
margin_fraction,0.35,773,21528.36732450701,7689.261433412536,0.7296248382923674,0.5899094437257438,-0.007644869419275335,0.0017286034433378278
margin_fraction,0.5,715,20312.2747641089,2868.2863678581343,0.6223776223776224,0.44755244755244755,-0.008456296254175877,0.0014728929335310775
margin_fraction,0.65,699,20312.2747641089,-83.38287194111399,0.49213161659513593,0.3748211731044349,-0.00924943653005017,0.0012661564104766258
margin_fraction,0.8,694,20312.2747641089,-1141.2842970955267,0.4423631123919308,0.3184438040345821,-0.009689270938823769,0.00117871997962143
margin_fraction,1.0,694,20307.149219343177,-2560.5005996644304,0.40057636887608067,0.27953890489913547,-0.010258674560367997,0.0010888763566933132
max_risk_fraction,0.01,274,5003.822571116354,-6014.5106942943785,0.0,0.0,-0.007610870635193945,-0.00019720284099220074
max_risk_fraction,0.015,610,9875.933228838236,-3451.0673130067726,0.18688524590163935,0.12131147540983607,-0.007983840661156427,0.0004820974352870373
max_risk_fraction,0.02,770,14911.000584963174,281.25117661075456,0.509090909090909,0.32987012987012987,-0.008042405934714725,0.0010770858264625943
max_risk_fraction,0.025,889,20312.2747641089,6713.046114381846,0.6929133858267716,0.5433070866141733,-0.008065759134190276,0.0016719562928201204
max_risk_fraction,0.03,953,25361.585192775317,9197.526705763043,0.7901364113326338,0.5886673662119623,-0.008601101365512953,0.0018291600972972814
max_risk_fraction,0.04,896,38155.021275524836,18940.910080304442,0.7912946428571429,0.7154017857142857,-0.009924565065955071,0.0021509355916657018
drawdown_brake_threshold,0.005,912,18194.666093535317,-1327.719400542958,0.41776315789473684,0.1787280701754386,-0.008384931009632224,0.0012932299155309045
drawdown_brake_threshold,0.01,1362,21640.194736188234,3108.2817642241725,0.5609397944199707,0.48164464023494863,-0.008449612638963155,0.0014784235493361443
drawdown_brake_threshold,0.015,1408,22864.086569952775,6717.672638994929,0.6683238636363636,0.5603693181818182,-0.00855059183305551,0.0015243858256955693
drawdown_brake_threshold,none,710,23202.828012872553,7142.497576949779,0.7014084507042253,0.5704225352112676,-0.008572066350338137,0.0015311978150268119
losing_streak_trigger,2.0,1357,21137.302415106915,1413.0914575500792,0.5534266764922623,0.41046425939572584,-0.00861612789561339,0.0013353252675508446
losing_streak_trigger,3.0,1435,21640.194736188234,4151.835692763757,0.6369337979094076,0.46550522648083625,-0.008023924159582418,0.0015400237823550078
losing_streak_trigger,none,1600,20312.2747641089,2642.348077571289,0.574375,0.4925,-0.008707947363577606,0.001479071402486079
