structure,lots,trades,mean_gross,mean_net,median_net,net_win_rate,mean_cost,mean_impact,mean_margin,mean_max_loss,selected_capacity_cap
long_put_butterfly,1,72,223.420138888889,-27.06221666481565,24.606731694657753,0.5277777777777778,250.48235555370468,1.2649367608543707,46159.12907431999,4071.5104166666665,False
long_put_butterfly,2,72,446.840277777778,74.6164258230603,184.50382729156053,0.5555555555555556,372.22385195471765,15.391382099641838,92318.25814863999,8143.020833333333,False
long_put_butterfly,3,72,670.260416666667,170.72032845325646,341.9359865674178,0.5555555555555556,499.54008821341057,35.09386083512076,138477.38722295998,12214.53125,False
long_put_butterfly,4,72,893.680555555556,260.5805599779335,496.5015194117533,0.5694444444444444,633.0999955776224,61.04137930088176,184636.51629727997,16286.041666666666,False
long_put_butterfly,5,72,1117.1006944444448,344.4792348498394,648.3351095806706,0.5694444444444444,772.6214595946055,92.95177455542215,230795.64537159994,20357.552083333332,False
long_put_butterfly,6,72,1340.520833333334,422.6195617011431,797.5347589678396,0.5694444444444444,917.9012716321909,130.6218035186854,276954.77444591996,24429.0625,False
long_put_butterfly,7,72,1563.940972222223,495.1522585541634,944.1733136081575,0.5694444444444444,1068.7887136680595,173.9007226956453,323113.9035202399,28500.572916666668,False
long_put_butterfly,8,72,1787.361111111112,562.1941173333324,1088.3072591147738,0.5694444444444444,1225.1669937777795,222.67172044088673,369273.03259455995,32572.083333333332,False
long_put_butterfly,9,72,2010.781250000001,623.838879069105,1229.9819412906402,0.5694444444444444,1386.9423709308958,276.8410398994117,415432.1616688799,36643.59375,False
long_put_butterfly,10,72,2234.2013888888896,680.9408738656525,1369.2347647650968,0.5694444444444444,1553.2605150232373,335.55468774709243,461591.2907431999,40715.104166666664,False
long_put_butterfly,11,72,2457.621527777779,732.8973594746504,1506.0972527404851,0.5694444444444444,1724.7241683031284,399.4150945164629,507750.4198175199,44786.614583333336,False
long_put_butterfly,12,72,2681.041666666668,779.9158996588483,1640.596434568338,0.5555555555555556,1901.1257670078198,468.2147553014894,553909.5488918399,48858.125,False
long_put_butterfly,13,72,2904.4618055555566,821.9022548078364,1772.7558169018507,0.5555555555555556,2082.5595507477206,542.0478371931988,600068.6779661599,52929.635416666664,False
long_put_butterfly,14,72,3127.881944444446,858.8944650063871,1902.5960855332505,0.5555555555555556,2268.9874794380585,620.8762907516208,646227.8070404798,57001.145833333336,False
long_put_butterfly,15,72,3351.302083333335,890.9263446413038,2030.1356265020343,0.5555555555555556,2460.3757386920315,704.6662932737001,692386.9361147998,61072.65625,False
long_put_butterfly,16,72,3574.722222222224,918.0282096070605,2155.390922023665,0.5555555555555556,2656.6940126151635,793.3875214088874,738546.0651891199,65144.166666666664,False
long_put_butterfly,17,72,3798.1423611111127,940.2274408740824,2278.376857322182,0.5555555555555556,2857.9149202370304,887.012587452317,784705.1942634399,69215.67708333333,False
long_put_butterfly,18,72,4021.562500000002,957.5489288227174,2399.1069625355112,0.5555555555555556,3064.013571177284,985.5165949016022,830864.3233377598,73287.1875,False
long_put_butterfly,19,72,4244.9826388888905,970.015428882897,2517.593606321371,0.5555555555555556,3274.967210005994,1088.876782729743,877023.4524120798,77358.69791666667,False
long_put_butterfly,20,72,4468.402777777779,977.6478499875088,2633.8481528761286,0.5555555555555556,3490.754927790271,1197.0722368608388,923182.5814863998,81430.20833333333,False
long_put_butterfly,21,72,4691.822916666668,980.4654913065447,2747.881090790144,0.5555555555555556,3711.3574253601237,1310.0836533777392,969341.7105607198,85501.71875,True
long_put_butterfly,22,72,4915.243055555558,978.4862385934022,2859.70213991107,0.5555555555555556,3936.756816962156,1427.8931421274685,1015500.8396350398,89573.22916666667,False
long_put_butterfly,23,72,5138.663194444447,971.7267285839597,2969.320340812217,0.5555555555555556,4166.936465860487,1550.4840622817292,1061659.9687093599,93644.73958333333,False
