split,component,trades,rupees,rupees_per_trade,share_of_total_cost
full_sample,base_slippage_rupees,86,19615.31378001786,228.08504395369604,0.4455087789274453
full_sample,ladder_impact_rupees,86,1900.2134450726858,22.09550517526379,0.04315820695553898
full_sample,volume_impact_rupees,86,500.1607201239304,5.815822327022446,0.011359797461760567
full_sample,oi_impact_rupees,86,135.629348295132,1.5770854452922325,0.0030804536712149616
full_sample,impact_rupees,86,2536.0035134917484,29.48841294757847,0.05759845808851451
full_sample,slippage_rupees,86,22151.317293509608,257.57345690127454,0.5031072370159598
full_sample,brokerage_rupees,86,13760.0,160.0,0.31252116926554036
full_sample,stt_rupees,86,2738.2889783572396,31.840569515781855,0.0621928250947054
full_sample,stamp_duty_rupees,86,98.09449617685088,1.1406336764750102,0.002227951064222639
full_sample,exchange_charges_rupees,86,2336.685845527827,27.170765645672407,0.05307149655890947
full_sample,sebi_charges_rupees,86,6.670527677784262,0.07756427532307282,0.00015150298760750633
full_sample,ipft_rupees,86,33.35263838892132,0.3878213766153642,0.0007575149380375319
full_sample,gst_rupees,86,2904.6076220870154,33.77450723356995,0.06597030307501706
full_sample,charges_rupees,86,21877.70010821564,254.39186172343764,0.49689276298403995
full_sample,total_cost_rupees,86,44029.01740172526,511.9653186247123,1.0
confirmation_2025_2026,base_slippage_rupees,31,6792.27719790482,219.1057160614458,0.4305206861385021
confirmation_2025_2026,ladder_impact_rupees,31,347.26093988644834,11.201965802788656,0.022010735685983388
confirmation_2025_2026,volume_impact_rupees,31,120.34691277637464,3.8821584766572466,0.007628050792614503
confirmation_2025_2026,oi_impact_rupees,31,32.88908559307657,1.0609382449379539,0.002084636902093298
confirmation_2025_2026,impact_rupees,31,500.4969382558995,16.145062524383857,0.03172342338069119
confirmation_2025_2026,slippage_rupees,31,7292.7741361607195,235.25077858582966,0.46224410951919326
confirmation_2025_2026,brokerage_rupees,31,4960.0,160.0,0.31438390116140447
confirmation_2025_2026,stt_rupees,31,1467.6915548101456,47.344888864843405,0.0930279428836413
confirmation_2025_2026,stamp_duty_rupees,31,39.62841195097917,1.2783358693864249,0.002511801360076624
confirmation_2025_2026,exchange_charges_rupees,31,936.4977867827063,30.20960602524859,0.059358836217292016
confirmation_2025_2026,sebi_charges_rupees,31,2.67341646241138,0.08623924072294774,0.00016945143082298608
confirmation_2025_2026,ipft_rupees,31,13.367082312056898,0.43119620361473865,0.0008472571541149303
confirmation_2025_2026,gst_rupees,31,1064.2568914002911,34.33086746452552,0.06745670027345417
confirmation_2025_2026,charges_rupees,31,8484.11514371859,273.68113366834166,0.5377558904808065
confirmation_2025_2026,total_cost_rupees,31,15776.889279879313,508.9319122541714,1.0
discovery_2021_2023,base_slippage_rupees,44,9585.184994647141,217.84511351470775,0.4535542089588931
discovery_2021_2023,ladder_impact_rupees,44,1014.596855068862,23.059019433383227,0.048008950716123225
discovery_2021_2023,volume_impact_rupees,44,283.1778555429452,6.4358603532487555,0.013399481422338929
discovery_2021_2023,oi_impact_rupees,44,76.69131957358677,1.7429845357633356,0.0036288992651301783
discovery_2021_2023,impact_rupees,44,1374.466030185394,31.237864322395318,0.06503733140359233
discovery_2021_2023,slippage_rupees,44,10959.651024832534,249.08297783710304,0.5185915403624853
discovery_2021_2023,brokerage_rupees,44,7040.0,160.0,0.33312050136265026
discovery_2021_2023,stt_rupees,44,716.1604226117739,16.27637324117668,0.033887460090415
discovery_2021_2023,stamp_duty_rupees,44,38.45891240052234,0.8740661909209622,0.0018198085483983305
discovery_2021_2023,exchange_charges_rupees,44,926.5229698287642,21.057340223381004,0.043841448328603635
discovery_2021_2023,sebi_charges_rupees,44,2.6449413926028096,0.060112304377336584,0.00012515400607651623
discovery_2021_2023,ipft_rupees,44,13.224706963014047,0.3005615218866829,0.0006257700303825811
discovery_2021_2023,gst_rupees,44,1436.8306712731883,32.6552425289361,0.06798831727098832
discovery_2021_2023,charges_rupees,44,10173.842624469868,231.22369601067882,0.4814084596375147
discovery_2021_2023,total_cost_rupees,44,21133.4936493024,480.30667384778184,1.0
validation_2024,base_slippage_rupees,11,3237.8515874659015,294.35014431508193,0.4548416694176733
validation_2024,ladder_impact_rupees,11,538.3556501173755,48.94142273794323,0.07562625278679566
validation_2024,volume_impact_rupees,11,96.6359518046106,8.785086527691872,0.01357506867044992
validation_2024,oi_impact_rupees,11,26.048943128468636,2.3680857389516943,0.003659261228953249
validation_2024,impact_rupees,11,661.0405450504549,60.09459500458681,0.09286058268619884
validation_2024,slippage_rupees,11,3898.892132516356,354.4447393196687,0.5477022521038721
validation_2024,brokerage_rupees,11,1760.0,160.0,0.24723842849190983
validation_2024,stt_rupees,11,554.4370009353196,50.40336372139269,0.07788530273239543
validation_2024,stamp_duty_rupees,11,20.00717182534936,1.8188338023044872,0.00281053506856079
validation_2024,exchange_charges_rupees,11,473.6650889163567,43.0604626287597,0.06653875694043225
validation_2024,sebi_charges_rupees,11,1.3521698227700731,0.12292452934273392,0.00018994792161128245
validation_2024,ipft_rupees,11,6.760849113850368,0.6146226467136698,0.0009497396080564125
validation_2024,gst_rupees,11,403.52005941353593,36.683641764866906,0.05668503713316177
validation_2024,charges_rupees,11,3219.742340027182,292.70384909338014,0.4522977478961277
validation_2024,total_cost_rupees,11,7118.634472543539,647.148588413049,1.0
