trade_id,trade_date,entry_ts,exit_ts,split,structure,span_time_slot,entry_dte,confidence_score,quality_switch_pass,skip_reason,lots,lot_size,margin_cap_lots,risk_cap_lots,binding_constraint,equity_before,margin_rupees,margin_utilization,max_loss_rupees,q95_cost_reserve_rupees,cash_risk_reserved_rupees,cash_risk_utilization,gross_pnl_rupees,base_slippage_rupees,ladder_impact_rupees,volume_impact_rupees,oi_impact_rupees,impact_rupees,slippage_rupees,brokerage_rupees,stt_rupees,stamp_duty_rupees,exchange_charges_rupees,sebi_charges_rupees,ipft_rupees,gst_rupees,charges_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,position_net_return_on_margin,equity_after,drawdown_after_rupees,drawdown_after_pct,executed,profile,config_id
886,2021-03-31,2021-03-31 06:12:00+00:00,,discovery_2021_2023,,,,0.3888888888888889,False,confidence_score_at_or_below_0.40,0,,5,0,quality_switch,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
888,2021-04-15,2021-04-15 06:08:00+00:00,,discovery_2021_2023,,,,0.2361111111111111,False,confidence_score_at_or_below_0.40,0,,6,0,quality_switch,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
890,2021-04-28,2021-04-28 06:10:00+00:00,,discovery_2021_2023,,,,0.2777777777777778,False,confidence_score_at_or_below_0.40,0,,5,0,quality_switch,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
891,2021-04-29,2021-04-29 06:49:00+00:00,,discovery_2021_2023,,,,0.0694444444444444,False,confidence_score_at_or_below_0.40,0,,6,0,quality_switch,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
894,2021-05-12,2021-05-12 07:23:00+00:00,2021-05-12 13:53:00+05:30,discovery_2021_2023,short_iron_fly,ID2,8.109027777777778,0.5277777777777778,True,,5,75.0,6,5,cash_risk,1000000.0,280159.54749866,0.2801595474986599,35081.25,1326.4136582412866,36407.66365824129,0.03640766365824129,5662.499999999999,256.92566771316814,17.418689336485976,10.078772313155412,2.2887321767218705,29.78619382636326,286.71186153953136,160.0,11.401554346552121,0.5228196166393132,14.092719365486131,0.040230429247748015,0.2011521462387401,31.38013834937507,217.63861425353912,504.3504757930705,5158.149524206929,40230.42924774802,0.01841147149993737,1005158.1495242068,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
896,2021-06-03,2021-06-03 07:57:00+00:00,2021-06-03 14:27:00+05:30,discovery_2021_2023,short_iron_fly,ID2,7.085416666666666,0.9722222222222222,True,,5,75.0,5,5,margin_and_cash_risk,1005158.1495242068,293413.6469001069,0.2919079420875159,37293.75,1326.4136582412866,38620.16365824129,0.0384219773540335,-7106.25,297.32659308307086,20.157735124275995,12.340156841259812,2.7351603368156816,35.23305230235149,332.55964538542236,160.0,10.531743300210493,0.8550688873741923,17.362893731033456,0.049565782846227396,0.247828914231137,31.97885191705995,221.02595253275547,553.5855979181779,-7659.835597918178,49565.78284622738,-0.026105928196741235,997498.3139262889,-7659.835597917903,-0.00762052777619493,True,max_margin_efficiency_dd_1.5%,5628
898,2021-06-17,2021-06-17 05:41:00+00:00,,discovery_2021_2023,,,,0.375,False,confidence_score_at_or_below_0.40,0,,5,0,quality_switch,997498.3139262889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997498.3139262889,-7659.835597917903,-0.00762052777619493,False,max_margin_efficiency_dd_1.5%,5628
900,2021-07-08,2021-07-08 08:32:00+00:00,2021-07-08 15:02:00+05:30,discovery_2021_2023,short_iron_fly,ID3,7.061111111111111,0.7916666666666666,True,,4,75.0,5,4,cash_risk,997498.3139262889,233230.3404867786,0.2338152728988105,32670.0,1079.7635095386486,33749.76350953865,0.03383440657327529,6989.999999999999,153.75903513967552,7.818256024051299,3.945976020999419,1.3023129709625272,13.066545016013245,166.82558015568878,160.0,6.642347799477585,0.19384563537332578,6.91709973735653,0.01974621677806603,0.09873108389033015,30.06640386684449,203.93817433972032,370.7637544954091,6619.2362455045895,19746.216778066027,0.02838068251192997,1004117.5501717932,-1040.5993524135556,-0.0010352593299931545,True,max_margin_efficiency_dd_1.5%,5628
901,2021-07-15,2021-07-15 05:17:00+00:00,2021-07-15 11:47:00+05:30,discovery_2021_2023,short_iron_fly,BOD,7.196527777777778,0.9583333333333334,True,,5,75.0,5,5,margin_and_cash_risk,1004117.5501717932,293261.4147425243,0.292058847783659,36112.5,1326.4136582412866,37438.91365824129,0.03728538919754556,599.9999999999999,200.592001028743,13.599457696863931,7.115534435200425,1.6091443451336918,22.32413647719805,222.91613750594104,160.0,12.326268370642934,0.7282635863637542,17.13947476391321,0.048927989620077675,0.2446399481003884,31.93794768629406,222.42552234493442,445.3416598508754,154.65834014912446,48927.98962007767,0.0005273736413121731,1004272.2085119424,-885.9410122643458,-0.000881394646885858,True,max_margin_efficiency_dd_1.5%,5628
902,2021-07-29,2021-07-29 08:29:00+00:00,2021-07-29 14:59:00+05:30,discovery_2021_2023,short_iron_fly,ID2,14.063194444444443,0.7638888888888888,True,,6,50.0,9,6,cash_risk,1004272.2085119424,233899.3418717124,0.2329043260275891,35145.0,1581.2903686756513,36726.290368675654,0.03657005546642977,2744.9999999999995,133.63823542422452,11.325274188493601,5.386383763234027,1.097784036174573,17.8094419879022,151.44767741212672,160.0,5.129627180429944,0.2299710611481604,6.279112226615904,0.0179249563991319,0.08962478199565951,29.94959915370193,201.69585936029074,353.14353677241746,2391.856463227582,17924.9563991319,0.010226007666748598,1006664.06497517,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
